0,58, Self-employed-not incorporated,4,34, Some college but no degree,0, Divorced, Construction, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,1053.55, MSA to MSA, Same county, Same county, No, Yes,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
754,24, Private,37,26, Bachelors degree(BA AB BS),0, Never married, Business and repair services, Adm support including clerical, White, All other, Male, Children or Armed Forces,0,0,0, Single, Child 18+ never marr Not in a subfamily, Child 18 or older,2965.09, MSA to MSA, Different division same region, Different state in Midwest, No, No,6, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
761,24, Private,33,19, Some college but no degree,0, Never married, Retail trade, Sales, White, All other, Female, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,3099.86, MSA to MSA, Same county, Same county, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
783,30, Self-employed-not incorporated,4,34, 11th grade,0, Married-spouse absent, Construction, Precision production craft & repair, White, Central or South American, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,1771.88, MSA to MSA, Same county, Same county, No, Yes,4, Honduras, Honduras, Honduras, Foreign born- Not a citizen of U S ,0,2,30,94, - 50000.
789,21, Private,4,34, High school graduate,0, Never married, Construction, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Single, Child 18+ never marr Not in a subfamily, Child 18 or older,4104.8, MSA to MSA, Different county same state, Different county same state, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,26,94, - 50000.
798,28, Private,35,36, High school graduate,0, Married-civilian spouse present, Finance insurance and real estate, Machine operators assmblrs & inspctrs, Black, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,2729.22, MSA to MSA, Same county, Same county, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
815,23, Private,4,34, 7th and 8th grade,0, Never married, Construction, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,2093.86, NonMSA to MSA, Different region, Different state in South, No, Yes,1, United-States, United-States, Germany, Native- Born abroad of American Parent(s),0,2,52,94, - 50000.
881,31, Federal government,50,14, Some college but no degree,0, Married-civilian spouse present, Public administration, Technicians and related support, Black, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,277.21, MSA to MSA, Different region, Different state in South, No, No,1, United-States, United-States, United-States, Native- Born in the United States,2,2,30,94, - 50000.
894,22, Private,42,29, High school graduate,0, Never married, Medical except hospital, Other service, Black, All other, Male, Children or Armed Forces,0,0,0, Nonfiler, Householder, Householder,2087.47, MSA to MSA, Same county, Same county, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,26,94, - 50000.
945,47, Local government,47,26, Some college but no degree,0, Divorced, Public administration, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,2782.2, NonMSA to nonMSA, Different region, Different state in Midwest, No, No,3, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
946,33, Private,35,26, High school graduate,0, Divorced, Finance insurance and real estate, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Nonfiler, Secondary individual, Nonrelative of householder,1805.13, MSA to MSA, Different state same division, Different state in Midwest, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,9,94, - 50000.
975,32, Private,31,2, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Utilities and sanitary services, Executive admin and managerial, White, Mexican-American, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,440.31, MSA to MSA, Different region, Different state in South, No, Yes,6, United-States, France, United-States, Native- Born in the United States,0,2,52,94, 50000+.
996,33, Private,33,19, High school graduate,0, Married-civilian spouse present, Retail trade, Sales, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1468.81, MSA to MSA, Same county, Same county, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
1010,30, Private,37,34, High school graduate,0, Never married, Business and repair services, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,1383.81, NonMSA to nonMSA, Same county, Same county, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,30,94, - 50000.
1034,34, Private,24,36, High school graduate,0, Divorced, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, White, Other Spanish, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,7191.9, MSA to MSA, Different county same state, Different county same state, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,6,94, - 50000.
1088,53, Private,37,19, High school graduate,0, Widowed, Business and repair services, Sales, White, All other, Female, Children or Armed Forces,0,0,0, Nonfiler, Other Rel 18+ ever marr not in subfamily, Other relative of householder,1866.81, MSA to MSA, Same county, Same county, No, Yes,3, United-States, United-States, United-States, Native- Born in the United States,0,2,13,94, - 50000.
1118,54, Local government,50,3, Some college but no degree,0, Married-civilian spouse present, Public administration, Executive admin and managerial, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1270.75, NonMSA to nonMSA, Same county, Same county, No, Yes,4, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
1123,31, Private,41,2, 9th grade,700, Married-civilian spouse present, Hospital services, Executive admin and managerial, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1812.0, NonMSA to nonMSA, Same county, Same county, No, No,4, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
1173,20, Private,4,40, Some college but no degree,0, Never married, Construction, Handlers equip cleaners etc , White, All other, Male, Children or Armed Forces,0,0,0, Single, Child 18+ never marr Not in a subfamily, Child 18 or older,1179.42, MSA to MSA, Same county, Same county, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
1192,33, Private,3,3, Masters degree(MA MS MEng MEd MSW MBA),0, Never married, Mining, Executive admin and managerial, White, All other, Female, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,1001.15, MSA to MSA, Different state same division, Different state in Northeast, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
1194,36, Private,27,4, Masters degree(MA MS MEng MEd MSW MBA),0, Married-civilian spouse present, Manufacturing-nondurable goods, Professional specialty, Asian or Pacific Islander, All other, Male, Children or Armed Forces,0,0,25, Joint both under 65, Householder, Householder,1548.93, MSA to MSA, Different county same state, Different county same state, No, No,3, India, India, India, Foreign born- Not a citizen of U S ,2,2,52,94, - 50000.
1250,25, Private,40,22, Doctorate degree(PhD EdD),600, Married-civilian spouse present, Entertainment, Adm support including clerical, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Child 18+ spouse of subfamily RP, Child 18 or older,2012.03, MSA to MSA, Different county same state, Different county same state, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,26,94, - 50000.
1321,30, Private,40,12, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Entertainment, Professional specialty, White, All other, Male, Children or Armed Forces,0,1740,0, Joint both under 65, Householder, Householder,1996.11, MSA to MSA, Different county same state, Different county same state, No, No,4, United-States, United-States, United-States, Native- Born in the United States,1,2,52,94, - 50000.
1329,38, Private,24,36, High school graduate,900, Separated, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, White, All other, Female, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,2237.84, MSA to MSA, Different division same region, Different state in Midwest, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,36,94, - 50000.
1363,36, Self-employed-not incorporated,45,3, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Other professional services, Executive admin and managerial, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1767.56, NonMSA to MSA, Different region, Different state in South, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,32,94, - 50000.
1367,23, Private,13,42, 10th grade,0, Married-civilian spouse present, Manufacturing-durable goods, Handlers equip cleaners etc , White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1182.08, NonMSA to nonMSA, Same county, Same county, No, Yes,3, United-States, United-States, United-States, Native- Born in the United States,2,2,45,94, - 50000.
1373,48, Private,39,26, High school graduate,1000, Divorced, Personal services except private HH, Adm support including clerical, White, Mexican-American, Female, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,1026.79, MSA to MSA, Same county, Same county, No, Yes,4, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
1381,22, Private,34,26, High school graduate,550, Married-civilian spouse present, Finance insurance and real estate, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,3105.7, MSA to MSA, Same county, Same county, No, Yes,4, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
1400,47, Private,45,26, Some college but no degree,0, Divorced, Other professional services, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,3518.12, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
1404,28, Private,33,28, High school graduate,0, Divorced, Retail trade, Protective services, White, All other, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,3941.41, MSA to MSA, Same county, Same county, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,25,94, - 50000.
1483,25, Private,4,34, Bachelors degree(BA AB BS),0, Never married, Construction, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Single, Child 18+ never marr Not in a subfamily, Child 18 or older,2060.71, Abroad to MSA, Abroad, Abroad, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,28,94, - 50000.
1501,20, Private,44,10, High school graduate,0, Married-A F spouse present, Social services, Professional specialty, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,306.01, MSA to MSA, Same county, Same county, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
1503,27, Private,24,2, 11th grade,0, Married-civilian spouse present, Manufacturing-nondurable goods, Executive admin and managerial, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1624.95, MSA to MSA, Same county, Same county, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
1509,27, Private,4,34, 11th grade,0, Never married, Construction, Precision production craft & repair, Black, All other, Male, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,1855.95, MSA to MSA, Different county same state, Different county same state, No, Yes,3, United-States, United-States, United-States, Native- Born in the United States,0,2,14,94, - 50000.
1517,36, Private,36,27, Bachelors degree(BA AB BS),0, Divorced, Private household services, Private household services, White, All other, Female, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,495.98, MSA to nonMSA, Different state same division, Different state in West, No, No,6, Canada, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
1554,33, Private,12,36, Some college but no degree,0, Never married, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, White, All other, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,2115.57, MSA to MSA, Different county same state, Different county same state, No, Yes,2, United-States, United-States, United-States, Native- Born in the United States,0,2,16,94, - 50000.
1573,19, Private,39,26, Some college but no degree,0, Never married, Personal services except private HH, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Single, Child 18+ never marr Not in a subfamily, Child 18 or older,1098.39, MSA to MSA, Different county same state, Different county same state, No, No,6, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
1579,65, Without pay,33,38, High school graduate,0, Married-civilian spouse present, Retail trade, Transportation and material moving, White, All other, Male, Children or Armed Forces,2414,0,0, Joint one under 65 & one 65+, Householder, Householder,1303.58, NonMSA to nonMSA, Same county, Same county, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
1581,24, Private,43,14, Masters degree(MA MS MEng MEd MSW MBA),0, Never married, Education, Technicians and related support, White, All other, Male, Children or Armed Forces,0,0,12000, Single, Nonfamily householder, Householder,1597.5, MSA to MSA, Different division same region, Different state in Northeast, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,30,94, - 50000.
1597,47, Private,4,34, High school graduate,0, Married-spouse absent, Construction, Precision production craft & repair, White, Mexican (Mexicano), Male, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,1093.81, MSA to MSA, Same county, Same county, No, Yes,3, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0,2,22,94, - 50000.
1637,28, Private,41,10, Some college but no degree,0, Never married, Hospital services, Professional specialty, Black, All other, Female, Children or Armed Forces,3325,0,0, Single, Nonfamily householder, Householder,2419.15, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
1640,32, Private,25,36, High school graduate,0, Never married, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, White, Central or South American, Male, Children or Armed Forces,0,0,0, Nonfiler, RP of unrelated subfamily, Nonrelative of householder,1244.86, Abroad to MSA, Abroad, Abroad, No, No,4, Columbia, Columbia, Columbia, Foreign born- U S citizen by naturalization,0,2,1,94, - 50000.
1666,43, Private,35,31, High school graduate,0, Married-civilian spouse present, Finance insurance and real estate, Other service, White, Mexican (Mexicano), Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1387.8, MSA to MSA, Same county, Same county, No, Yes,1, Mexico, Mexico, Mexico, Foreign born- U S citizen by naturalization,2,2,52,94, - 50000.
1676,41, Self-employed-not incorporated,29,38, High school graduate,0, Divorced, Transportation, Transportation and material moving, White, All other, Male, Children or Armed Forces,0,1590,0, Single, Nonfamily householder, Householder,2034.16, MSA to MSA, Same county, Same county, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
1702,20, Private,36,27, High school graduate,0, Never married, Private household services, Private household services, White, Mexican-American, Female, Children or Armed Forces,0,0,0, Nonfiler, Secondary individual, Nonrelative of householder,1845.31, Abroad to MSA, Abroad, Abroad, No, No,1, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0,2,4,94, - 50000.
1705,27, Private,33,35, Bachelors degree(BA AB BS),875, Married-civilian spouse present, Retail trade, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,863.15, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
1723,21, Private,33,19, High school graduate,0, Married-A F spouse present, Retail trade, Sales, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,2494.84, Not identifiable, Different region, Different state in West, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,14,94, - 50000.
1727,50, Private,34,24, 10th grade,0, Separated, Finance insurance and real estate, Adm support including clerical, Black, All other, Female, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,1457.32, MSA to MSA, Same county, Same county, No, No,6, Jamaica, Jamaica, Jamaica, Foreign born- U S citizen by naturalization,2,2,52,94, - 50000.
1743,23, Private,33,16, Some college but no degree,500, Married-civilian spouse present, Retail trade, Sales, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,2016.51, NonMSA to MSA, Different region, Different state in South, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,42,94, - 50000.
1753,28, Private,1,26, Associates degree-academic program,0, Married-civilian spouse present, Agriculture, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1076.05, NonMSA to nonMSA, Different division same region, Different state in Northeast, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,46,94, - 50000.
1758,42, Private,39,26, Some college but no degree,0, Married-civilian spouse present, Personal services except private HH, Adm support including clerical, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1071.17, MSA to MSA, Same county, Same county, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
1792,38, Private,43,2, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Education, Executive admin and managerial, Black, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,2099.69, MSA to MSA, Same county, Same county, No, Yes,3, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
1793,26, Private,13,4, Masters degree(MA MS MEng MEd MSW MBA),0, Never married, Manufacturing-durable goods, Professional specialty, White, All other, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,1651.5, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, 50000+.
1794,21, Private,36,27, 5th or 6th grade,0, Never married, Private household services, Private household services, White, Mexican (Mexicano), Female, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,1904.25, MSA to MSA, Same county, Same county, No, Yes,1, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0,2,52,94, - 50000.
1811,23, Federal government,43,26, High school graduate,0, Married-civilian spouse present, Education, Adm support including clerical, Amer Indian Aleut or Eskimo, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1089.13, NonMSA to nonMSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
1817,24, Private,39,32, Some college but no degree,0, Married-civilian spouse present, Personal services except private HH, Other service, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1601.04, MSA to MSA, Same county, Same county, No, No,1, United-States, United-States, United-States, Native- Born in the United States,2,1,48,94, - 50000.
1851,28, Self-employed-not incorporated,39,32, High school graduate,0, Married-civilian spouse present, Personal services except private HH, Other service, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,2510.64, MSA to MSA, Same county, Same county, No, Yes,1, United-States, United-States, United-States, Native- Born in the United States,1,2,52,94, - 50000.
